id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
40;Casa à Venda em Blumenau no bairro Itoupava Central;1319000.0;5;4;860.0;4;casa;542;Itoupava Central;28164;8715;45.0;Rua Norma Hadlich;89069-040;;-26.8066061;-49.0942941;venda;portal_imoveis
41;Lote/Terreno à Venda em Blumenau no bairro Vila Nova;500000.0;0;0;300.0;0;loteterreno;;Vila Nova;9962;3884;2.0;Rua Jose De Alencar;89035-430;11.4;-26.8984135;-49.0896278;venda;portal_imoveis
42;Casa à Venda em Blumenau no bairro Fortaleza;1400000.0;5;6;650.0;3;casa;141;Fortaleza;13196;4212;5.0;Rua Babilonia;89053-490;;-26.870607;-49.0763179;venda;portal_imoveis
43;Casa à Venda em Blumenau no bairro Itoupava Central;2200000.0;4;4;700.0;2;casa;389;Itoupava Central;28164;8715;45.0;Rua Flamboyant;89062-253;;-26.8286471;-49.0868367;venda;portal_imoveis
44;Vendo Apartamento no Res. Hamburgo no Badenfurt em Blumenau SC;132000.0;2;1;51.0;1;apartamento;;Salto Weissbach;5213;1556;4.0;Rua Bahia;89032-525;14.8;-26.8867411;-49.0937241;venda;zap_imoveis
46;Excelente Oportunidade!;133900.0;2;1;51.0;1;apartamento;;Velha;15373;5470;6.0;Rua Governador Jorge Lacerda;89045-000;;-26.924502;-49.1025403;venda;zap_imoveis
47;Oportunidade! Apartamento 51,02m² Área PV abaixo valor mercado Blumenau/SC - Rafael Matias;133900.0;2;1;51.0;1;apartamento;;Velha;15373;5470;6.0;Rua Governador Jorge Lacerda;89045-000;;-26.924502;-49.1025403;venda;zap_imoveis
49;Casa à Venda em Blumenau no bairro Garcia;780000.0;4;2;276.76;2;casa;394;Garcia;15911;5336;5.0;Rua Engenheiro Odebrecht;89021-200;13.6;-26.9408836;-49.0584558;venda;portal_imoveis
50;Apartamento à Venda em Blumenau no bairro Itoupava Central;280000.0;2;1;99.0;1;apartamento;4500;Itoupava Central;28164;8715;45.0;Rua Gustavo Zimmermann;89063-003;18.3;-26.8036671;-49.0875859;venda;portal_imoveis
51;Casa à Venda em Blumenau no bairro Fortaleza;695000.0;2;3;453.75;3;casa;318;Fortaleza;13196;4212;5.0;Rua Miguel Servet;89056-300;16.2;-26.8754639;-49.0736358;venda;portal_imoveis
52;Casa à Venda em Blumenau no bairro Salto;750000.0;4;4;783.0;3;casa;185;Salto Do Norte;8441;2779;7.0;Rua Osni Jensen;89065-280;12.5;-26.8778205;-49.099843;venda;portal_imoveis
53;Apartamento à Venda em Blumenau no bairro Centro;600617.0;1;1;73.0;1;apartamento;148;Centro;5004;1622;2.0;Rua Namy Deeke;89010-130;13.95;-26.917538;-49.0677202;venda;portal_imoveis
55;Lotes residenciais à venda no bairro Itoupava Central – Blumenau/SC;135000.0;0;0;333.0;0;loteterreno;;Itoupava Central;28164;8715;45.0;Rua Ricardo Georg;89069-100;;-26.7968587;-49.0994516;venda;zap_imoveis
59;Apartamento à Venda em Blumenau no bairro Centro;815650.0;1;2;88.56;1;apartamento;148;Centro;5004;1622;2.0;Rua Namy Deeke;89010-130;13.95;-26.917538;-49.0677202;venda;portal_imoveis
60;Casa à Venda em Blumenau no bairro Itoupava Norte;1100000.0;4;4;502.0;4;casa;264;Itoupava Norte;15648;5258;5.0;Rua Almirante Armin Zimmermann;89053-500;17.95;-26.8776068;-49.0849655;venda;portal_imoveis
62;Lote/Terreno à Venda em Blumenau no bairro Ponta Aguda;290000.0;0;0;375.0;0;loteterreno;3065;Ponta Aguda;9880;3233;7.0;Rua Silvano Candido Da Silva Senior;89050-280;;-26.9004052;-49.0464149;venda;portal_imoveis
63;Sobrado à Venda em Blumenau no bairro Escola Agrícola;1425000.0;3;3;683.0;2;sobrado;181;Do Salto;4558;1445;2.0;Rua Roland Riediger;89031-031;;-26.8923183;-49.0936116;venda;portal_imoveis
65;Lindo terreno pronto para construir na Badenfurt próximo a Zeus do Brasil;139000.0;0;0;420.0;0;loteterreno;;Badenfurt;8650;2753;12.0;Rua Gregorio Link;89072-050;;-26.878568;-49.1631041;venda;zap_imoveis
66;Terreno localizado no bairro Fortaleza!;139900.0;0;0;340.0;0;loteterreno;;Itoupava Norte;15648;5258;5.0;Rua Sao Cristovao;89053-590;10.05;-26.8707056;-49.0879875;venda;zap_imoveis
67;Lote/Terreno para venda possui 450 metros quadrados em Progresso - Blumenau - SC;140000.0;0;0;450.0;0;loteterreno;;Progresso;15005;4852;7.0;Rua Bruno Schreiber;89027-400;;-26.9936705;-49.0998762;venda;zap_imoveis
70;Casa à Venda em Blumenau no bairro Ponta Aguda;850000.0;3;3;240.0;2;casa;09;Ponta Aguda;9880;3233;7.0;Rua Nestor Seara Heusi;89050-200;;-26.9078156;-49.047159;venda;portal_imoveis
71;Casa à Venda em Blumenau no bairro Testo Salto;790000.0;3;3;516.33;2;casa;78;Testo Salto;7065;2135;15.0;Rua Bruno Morell;89074-580;;-26.8570593;-49.1384688;venda;portal_imoveis
73;Casa à Venda em Blumenau no bairro Tribess;530000.0;3;1;107.0;2;casa;;Tribess;8503;2691;3.0;Rua Hermann Tribess;89055-400;;-26.8764169;-49.0587461;venda;portal_imoveis
74;Possibilidade de 100 % financiado!;140000.0;2;1;188.0;0;casa;;Itoupavazinha;17560;5358;12.0;Rua Radialista Rodolfo Sestrem;89066-383;;-26.8514283;-49.1082135;venda;zap_imoveis
76;Terreno no bairro Itoupavazinha no loteamento Aquárius Lot.40, com área total de 438m² Zoneamento Z;140000.0;0;0;438.0;0;loteterreno;;Itoupavazinha;17560;5358;12.0;Rua Joao Cardoso;89070-521;;-26.8622493;-49.1238427;venda;zap_imoveis
77;Terreno Testo Salto;140000.0;0;0;360.0;0;loteterreno;;Testo Salto;7065;2135;15.0;Rua Christiano Karsten;89074-400;;-26.8530331;-49.1434161;venda;zap_imoveis
79;Casa à Venda em Blumenau no bairro Tribess;490000.0;3;1;103.0;2;casa;;Tribess;8503;2691;3.0;Rua Hermann Tribess;89055-400;;-26.8764169;-49.0587461;venda;portal_imoveis
80;Casa à Venda em Blumenau no bairro Tribess;490000.0;3;1;103.0;2;casa;2200;Tribess;8503;2691;3.0;Rua Hermann Tribess;89055-400;;-26.8764169;-49.0587461;venda;portal_imoveis
81;Casa à Venda em Blumenau no bairro Tribess;490000.0;3;1;103.0;2;casa;;Tribess;8503;2691;3.0;Rua Hermann Tribess;89055-400;;-26.8764169;-49.0587461;venda;portal_imoveis
82;Apartamento para Alugar em Blumenau no bairro Vila Nova;1900.0;2;1;110.48;1;apartamento;2348;Vila Nova;9962;3884;2.0;Rua Benjamin Constant;89037-502;12.1;-26.8948773;-49.0987164;locação;portal_imoveis
83;Casa à Venda em Blumenau no bairro Progresso;380000.0;3;2;455.0;2;casa;67;Progresso;15005;4852;7.0;Rua Erico Verissimo;89026-275;;-26.9685845;-49.0749231;venda;portal_imoveis
84;LINDO APARTAMENTO SEMIMOBILIADO NO BAIRRO PROGRESSO.;145000.0;2;1;41.0;1;apartamento;;Progresso;15005;4852;7.0;Rua Santa Maria;89027-200;;-26.983649;-49.0781831;venda;zap_imoveis
85;Terreno no Bairro Ponta Aguda, bem localizado, com 534,80m².;145000.0;0;0;534.0;0;loteterreno;;Ponta Aguda;9880;3233;7.0;Rua August Friedrich Wilhelm Becker;89051-090;;-26.906535;-49.0653098;venda;zap_imoveis
87;Terreno no Bairro Testo Salto - Rua sem saída;149000.0;0;0;299.0;0;loteterreno;;Testo Salto;7065;2135;15.0;Rua Bertoldo Joao Correa;89074-470;;-26.8553029;-49.1456477;venda;zap_imoveis
88;Terreno com 700,17 metros quadrados, apto para construir, possui pequeno declive.;149000.0;0;0;700.0;0;loteterreno;;Testo Salto;7065;2135;15.0;Rua Mina Nova;89074-350;;-26.8611092;-49.1415386;venda;zap_imoveis
89;Casa à Venda em Blumenau no bairro Testo Salto;370000.0;2;1;68.74;1;casa;2691;Testo Salto;7065;2135;15.0;Rua Werner Duwe;89074-178;13.55;-26.8504419;-49.1519382;venda;portal_imoveis
90;Casa à Venda em Blumenau no bairro Itoupava Norte;280000.0;2;1;100.0;1;casa;88;Itoupava Norte;15648;5258;5.0;Rua Doutor Edgar Barreto;89053-540;;-26.8741176;-49.081574;venda;portal_imoveis
91;Casa à Venda em Blumenau no bairro Progresso;580000.0;3;2;960.0;2;casa;1284;Progresso;15005;4852;7.0;Rua Avelino Pering;89027-440;;-26.9852457;-49.0844607;venda;portal_imoveis
92;Casa à Venda em Blumenau no bairro Progresso;420000.0;3;2;825.0;2;casa;1274;Progresso;15005;4852;7.0;Rua Avelino Pering;89027-440;;-26.9852457;-49.0844607;venda;portal_imoveis
93;Apartamento à Venda em Blumenau no bairro Itoupavazinha;280000.0;3;1;96.0;1;apartamento;90;Itoupavazinha;17560;5358;12.0;Rua Jose Stein;89066-430;;-26.8530595;-49.1171885;venda;portal_imoveis
94;LOFT a venda semimobiliado no bairro da Velha próximo ao Tomio.;149999.0;1;1;30.0;1;kitnet;;Itoupava Seca;4464;1616;3.0;Rua Engenheiro Paul Werner;89030-101;20.7;-26.8962619;-49.0824227;venda;zap_imoveis
95;Terreno na rua Arapongas na Ponta Aguda;150000.0;0;0;420.0;0;loteterreno;;Ponta Aguda;9880;3233;7.0;Rua Arapongas;89050-195;;-26.9096309;-49.0512373;venda;zap_imoveis
96;Blumenau - Terreno Padrão - Itoupava Central;150000.0;1;1;345.0;0;loteterreno;;Itoupava Central;28164;8715;45.0;Rua Ricardo Georg;89069-100;;-26.7968587;-49.0994516;venda;zap_imoveis
100;Apartamento à Venda em Blumenau no bairro Salto do Norte;255423.0;2;1;55.48;1;apartamento;832;Salto Do Norte;8441;2779;7.0;Rua Pomerode;89065-301;14.75;-26.8785312;-49.1012611;venda;portal_imoveis
101;Apartamento à Venda em Blumenau no bairro Salto do Norte;269718.0;2;2;63.79;1;apartamento;832;Salto Do Norte;8441;2779;7.0;Rua Pomerode;89065-301;14.75;-26.8785312;-49.1012611;venda;portal_imoveis
103;Apartamento à Venda em Blumenau no bairro Victor Konder;860000.0;3;4;230.0;3;apartamento;130;Victor Konder;4612;1990;1.0;Rua Victor Konder;89012-170;10.3;-26.9113888;-49.0755186;venda;portal_imoveis
104;Conheça agora um excelente terreno na Itoupava Central, uma ótima opção de investimento a venda aqui;150000.0;0;0;480.0;0;loteterreno;;Agua Verde;16186;5526;5.0;Rua Rudolf Roedel;89037-405;;-26.9015148;-49.1122971;venda;zap_imoveis
109;Lote/Terreno à Venda em Blumenau no bairro Água Verde;1500000.0;0;0;1028.0;0;loteterreno;143;Agua Verde;16186;5526;5.0;Rua Rodolfo Weckerle;89037-508;;-26.9075879;-49.0998925;venda;portal_imoveis
111;Casa para Alugar em Blumenau no bairro Itoupava Norte;1200.0;2;1;60.0;0;casa;191;Itoupava Norte;15648;5258;5.0;Rua Vinte E Cinco De Novembro;89053-110;;-26.8777978;-49.0760725;locação;portal_imoveis
112;Casa à Venda em Blumenau no bairro Escola Agrícola;750000.0;3;3;168.22;2;casa;;Escola Agricola;12145;3906;4.0;Rua Francisco Da Cunha Silveira;89037-695;;-26.8944032;-49.0938482;venda;portal_imoveis
113;Apartamento à Venda em Blumenau no bairro Itoupava Seca;475000.0;2;2;102.0;1;apartamento;365;Itoupava Seca;4464;1616;3.0;Rua Teresopolis;89030-110;14.75;-26.904098;-49.0807824;venda;portal_imoveis
114;Lote/Terreno para Alugar em Blumenau no bairro Fortaleza;1500.0;0;0;311.5;0;loteterreno;;Tribess;8503;2691;3.0;Rua Francisco Vahldieck;89057-700;18.35;-26.8835204;-49.0721619;locação;portal_imoveis
115;Lote/Terreno à Venda em Blumenau no bairro Da Glória;220000.0;1;1;5192.5;1;loteterreno;805;Da Gloria;6228;2096;2.0;Rua Belo Horizonte;89025-000;;-26.976146;-49.0605507;venda;portal_imoveis
116;Casa à Venda em Blumenau no bairro Tribess;650000.0;3;3;407.0;3;casa;440;Tribess;8503;2691;3.0;Rua Robert Koch;89055-580;;-26.8786037;-49.0551769;venda;portal_imoveis
123;Casa à Venda em Blumenau no bairro Garcia;800000.0;2;3;145.0;3;casa;;Garcia;15911;5336;5.0;Rua Araxa;89020-330;10.6;-26.9298493;-49.0535121;venda;portal_imoveis
124;Casa para Alugar em Blumenau no bairro Ponta Aguda;8000.0;5;7;422.0;4;casa;149;Ponta Aguda;9880;3233;7.0;Rua Assuncao;89050-120;;-26.9138736;-49.0611724;locação;portal_imoveis
125;Apartamento à Venda em Blumenau no bairro Jardim Blumenau;266000.0;2;2;94.07;1;apartamento;50;Jardim Blumenau;2855;1004;1.0;Rua Lauro Mueller;89010-380;;-26.9291614;-49.0632606;venda;portal_imoveis
126;Lote/Terreno à Venda em Blumenau no bairro Vorstadt;1000000.0;0;0;53000.0;0;loteterreno;;Vorstadt;4269;1690;4.0;Rua Juazeiro;89015-535;;-26.9072525;-49.0361775;venda;portal_imoveis
130;Terreno no Bairro da Gloria com 747,70 m2 - Zoneamento ZR1;155000.0;0;0;748.0;0;loteterreno;;Itoupava Norte;15648;5258;5.0;Rua Trinta De Outubro;89052-200;;-26.8943167;-49.0737469;venda;zap_imoveis
132;Lote/Terreno à Venda em Blumenau no bairro Badenfurt;1200000.0;0;0;2500.0;0;loteterreno;485;Badenfurt;8650;2753;12.0;Rua Bernardino Jose De Oliveira;89070-270;13.5;-26.8839224;-49.1332086;venda;portal_imoveis
133;Casa para Alugar em Blumenau no bairro Ponta Aguda;6600.0;3;3;420.0;2;casa;135;Ponta Aguda;9880;3233;7.0;Rua Assuncao;89050-120;;-26.9138736;-49.0611724;locação;portal_imoveis
134;Casa à Venda em Blumenau no bairro Garcia;1650000.0;4;3;1798.56;3;casa;111;Garcia;15911;5336;5.0;Rua Maravilha;89020-120;12.75;-26.9293995;-49.0579974;venda;portal_imoveis
135;Casa à Venda em Blumenau no bairro Velha;695000.0;4;2;813.26;2;casa;452;Velha;15373;5470;6.0;Rua Luiz Bittelbrunn;89040-080;;-26.9207813;-49.1143257;venda;portal_imoveis
136;Casa para Alugar em Blumenau no bairro Passo Manso;2000.0;3;2;600.0;1;casa;915;Passo Manso;6799;2069;7.0;Rua Arthur Mantau;89032-310;;-26.899334;-49.1391033;locação;portal_imoveis
141;TERRENO EM CONDOMÍNIO FECHADO 10 MIN DA VILA GERMÂNICA;159999.0;0;0;236.0;0;loteterreno;;Agua Verde;16186;5526;5.0;Rua Guabiruba;89040-465;;-26.9143672;-49.1272598;venda;zap_imoveis
142;Casa à Venda em Blumenau no bairro Escola Agrícola;899000.0;4;6;442.13;2;casa;224;Escola Agricola;12145;3906;4.0;Rua Luiz Altemburg Senior;89031-300;;-26.8894568;-49.09968;venda;portal_imoveis
143;Lote/Terreno à Venda em Blumenau no bairro Itoupava Central;940000.0;0;0;5903.88;0;loteterreno;1051;Itoupava Central;28164;8715;45.0;Rua Erich Meyer;89069-300;;-26.7843627;-49.0943118;venda;portal_imoveis
144;Apartamento para Alugar em Blumenau no bairro Vila Nova;2450.0;2;1;94.34;2;apartamento;2364;Vila Nova;9962;3884;2.0;Rua Benjamin Constant;89037-502;12.1;-26.8948773;-49.0987164;locação;portal_imoveis
145;Lote/Terreno à Venda em Blumenau no bairro Fortaleza;360000.0;0;0;459.0;0;loteterreno;;Fortaleza;13196;4212;5.0;Rua Babilonia;89053-490;;-26.870607;-49.0763179;venda;portal_imoveis
146;Casa à Venda em Blumenau no bairro Salto do Norte;650000.0;3;3;482.5;5;casa;587;Salto Do Norte;8441;2779;7.0;Rua Trinta De Agosto;89065-210;;-26.8747273;-49.0932393;venda;portal_imoveis
147;TERRENO EM CONDOMÍNIO FECHADO 10 MIN DA VILA GERMÂNICA;159999.0;0;0;236.0;0;loteterreno;;Agua Verde;16186;5526;5.0;Rua Guabiruba;89040-465;;-26.9143672;-49.1272598;venda;zap_imoveis
148;OPORTUNIDADE, terreno bairro Velha Central, livre de enchente.;160000.0;0;0;375.0;0;loteterreno;;Velha Central;18779;6119;7.0;Rua Petunia;89046-450;;-26.9360036;-49.1386715;venda;zap_imoveis
151;Lote para venda.;160000.0;0;0;375.0;0;loteterreno;;Velha Central;18779;6119;7.0;Rua Petunia;89046-450;;-26.9360036;-49.1386715;venda;zap_imoveis
152;Casa à Venda em Blumenau no bairro Água Verde;900000.0;6;5;449.0;4;casa;162;Agua Verde;16186;5526;5.0;Rua Hermann Spernau;89037-506;;-26.9073283;-49.0978223;venda;portal_imoveis
2;Casa à Venda em Blumenau no bairro Itoupava Norte;1500000.0;3;4;325.0;2;casa;136;Itoupava Norte;15648;5258;5.0;Rua Olga Krutzsch;89053-073;15.0;-26.8785986;-49.0794927;venda;portal_imoveis
3;Casa para Alugar em Blumenau no bairro Ponta Aguda;4200.0;5;3;245.65;2;casa;178;Ponta Aguda;9880;3233;7.0;Rua Venezuela;89050-310;;-26.9144216;-49.0642226;locação;portal_imoveis
4;Casa à Venda em Blumenau no bairro Progresso;560000.0;3;2;822.26;1;casa;97;Progresso;15005;4852;7.0;Rua Germano Roeder;89026-250;;-26.9654392;-49.0763192;venda;portal_imoveis
8;Oportunidade! Apartamento 62,16m² Área PV abaixo valor mercado Blumenau/SC - Rafael Matias;111080.0;2;1;62.0;1;apartamento;;Itoupava Central;28164;8715;45.0;Rua Professor Jacob Ineichen;89066-598;;-26.8426432;-49.1113311;venda;zap_imoveis
9;Apartamento para Alugar em Blumenau no bairro Boa Vista;1300.0;2;1;95.22;1;apartamento;1758;Victor Konder;4612;1990;1.0;Rua Carlos Rischbieter;89012-200;16.6;-26.9077427;-49.0732069;locação;portal_imoveis
10;Casa à Venda em Blumenau no bairro Itoupava Norte;950000.0;3;4;259.5;2;casa;21;Itoupava Norte;15648;5258;5.0;Rua Xaverio Eble;89053-460;;-26.8717243;-49.0778422;venda;portal_imoveis
11;Apartamento à Venda em Blumenau no bairro Vila Nova;380000.0;4;2;150.0;1;apartamento;163;Vila Nova;9962;3884;2.0;Rua Theodoro Holtrup;89035-300;13.35;-26.9097018;-49.0825406;venda;portal_imoveis
12;Casa à Venda em Blumenau no bairro Velha;650000.0;4;4;274.77;2;casa;137;Velha;15373;5470;6.0;Rua Bruno Hildebrand;89040-090;;-26.9210608;-49.1148786;venda;portal_imoveis
13;Lote/Terreno à Venda em Blumenau no bairro Vila Nova;2500000.0;0;0;1927.0;0;loteterreno;233;Vila Nova;9962;3884;2.0;Rua Theodoro Holtrup;89035-300;13.35;-26.9097018;-49.0825406;venda;portal_imoveis
14;Excelente Oportunidade!;111080.0;2;1;62.0;1;apartamento;;Itoupava Central;28164;8715;45.0;Rua Professor Jacob Ineichen;89066-598;;-26.8426432;-49.1113311;venda;zap_imoveis
17;|Terreno no Bairro Valparaíso em Blumenau Próximo Nagguchi Apenas R$ 120.000,00 || LA VITA IMÓVEIS|;120000.0;0;0;574.0;0;loteterreno;;Valparaiso;5280;1774;1.0;Rua Antonio Hank;89023-370;;-26.9549408;-49.08355;venda;zap_imoveis
18;Terreno residencial para venda no Bairro Garcia, em Blumenau!;120000.0;0;0;417.0;0;loteterreno;;Garcia;15911;5336;5.0;Rua Evaldo Tensini;89022-220;;-26.9483269;-49.0663053;venda;zap_imoveis
19;Casa à Venda em Blumenau no bairro Itoupava Norte;1100000.0;5;3;431.85;3;casa;385;Itoupava Norte;15648;5258;5.0;Rua Ary Taborda Ribas;89053-520;;-26.8760919;-49.0823522;venda;portal_imoveis
21;Casa à Venda em Blumenau no bairro Vorstadt;1600000.0;3;5;372.5;4;casa;403;Vorstadt;4269;1690;4.0;Alameda Ralf Bruno Gross;89015-430;16.35;-26.8989653;-49.0420927;venda;portal_imoveis
22;Apartamento à Venda em Blumenau no bairro Itoupava Norte;720000.0;2;1;215.98;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
23;Apartamento à Venda em Blumenau no bairro Itoupava Norte;750000.0;3;1;140.47;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
24;Terreno localizado em loteamento residencial, contendo área total de 922,00 m², fazendo frente em 21;120000.0;0;0;922.0;0;loteterreno;;Garcia;15911;5336;5.0;Rua Christiano Theiss;89020-410;10.8;-26.9293031;-49.0561492;venda;zap_imoveis
27;Apartamento 1 dormitório Semi-mobiliado a venda Velha Central;120000.0;1;1;28.0;0;apartamento;;Velha Central;18779;6119;7.0;Rua Silvio Santiago;89046-065;;-26.9373519;-49.1409194;venda;zap_imoveis
28;Apartamento 1 dormitório Semi-mobiliado a venda Velha Central;120000.0;1;1;28.0;0;apartamento;;Velha Central;18779;6119;7.0;Rua Silvio Santiago;89046-065;;-26.9373519;-49.1409194;venda;zap_imoveis
29;Apartamento à Venda em Blumenau no bairro Itoupava Norte;750000.0;2;3;215.98;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
30;Apartamento à Venda em Blumenau no bairro Itoupava Norte;790000.0;3;1;140.47;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
31;Apartamento à Venda em Blumenau no bairro Itoupava Norte;750000.0;3;1;136.98;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
32;Apartamento à Venda em Blumenau no bairro Itoupava Norte;1210000.0;3;1;140.47;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
